アッタッチモジュールID,アタッチモジュール名,制御対象モジュールID,制御対象 名前,制御目標 モジュールID,制御目標 モジューID,IKの種類,比例定数,コメント
404,LArm03_y,404,LArm03_y,940,LA_TA01,4: dirx_as_dirx,0.01,左腕手首抑制：
406,LArm03_z,406,LArm03_z,940,LA_TA01,4: dirx_as_dirx,0,左腕手首抑制：
,,,,,,,,頭のIK設定 : 目標を見る動作
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
600,RL01_x,710,RL02_EE,971,RL02_TA,0: pos_to_pos,0.4,右足のIK設定：脚を開く動作
601,RL01_z,710,RL02_EE,971,RL02_TA,0: pos_to_pos,0.4,
600,RL01_x,710,RL02_EE,970,RL05_TA01,0: pos_to_pos,0.4,
601,RL01_z,710,RL02_EE,970,RL05_TA01,0: pos_to_pos,0.4,
602,RL02_x,706,RL05_EE,970,RL05_TA01,0: pos_to_pos,0.2,
603,RL03_x,706,RL05_EE,970,RL05_TA01,0: pos_to_pos,0.2,
604,RL03_y,706,RL05_EE,970,RL05_TA01,0: pos_to_pos,0.2,
605,RL03_z,706,RL05_EE,970,RL05_TA01,0: pos_to_pos,0.2,
603,RL03_x,706,RL05_EE,970,RL05_TA01,3: dirz_as_dirz,0.8,
604,RL03_y,706,RL05_EE,970,RL05_TA01,3: dirz_as_dirz,0.8,
605,RL03_z,706,RL05_EE,970,RL05_TA01,4: dirx_as_dirx,0.8,
700,LL01_x,710,LL02_EE,971,LL02_TA,0: pos_to_pos,0.4,左足のIK設定：脚を開く動作
701,LL01_z,710,LL02_EE,971,LL02_TA,0: pos_to_pos,0.4,
700,LL01_x,710,LL02_EE,970,LL05_TA01,0: pos_to_pos,0.4,
701,LL01_z,710,LL02_EE,970,LL05_TA01,0: pos_to_pos,0.4,
702,LL02_x,706,LL05_EE,970,LL05_TA01,0: pos_to_pos,0.2,
703,LL03_x,706,LL05_EE,970,LL05_TA01,0: pos_to_pos,0.2,
704,LL03_y,706,LL05_EE,970,LL05_TA01,0: pos_to_pos,0.2,
705,LL03_z,706,LL05_EE,970,LL05_TA01,0: pos_to_pos,0.2,
703,LL03_x,706,LL05_EE,970,LL05_TA01,3: dirz_as_dirz,0.8,
704,LL03_y,706,LL05_EE,970,LL05_TA01,3: dirz_as_dirz,0.8,
705,LL03_z,706,LL05_EE,970,LL05_TA01,4: dirx_as_dirx,0.8,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
